,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza pública,Enseñanza privada,Salud humana pública,Salud humana privada,Servicios veterinarios,Servicios sociales,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento",Servicio doméstico
"Engranajes, hornos, elevadores y otras maquinarias de uso general",58756.8122135688,10609.88698077782,4022.6663367584642,10531.991031149752,2287.7595414865773,18213.391953520128,427.6282373907834,9879.497157076596,296.8352353817133,2256.1768317492215,6229.3871940513345,0.0010893417597305157,0.0007748000518219222,0.0001769600102973264,6987.4067915534115,1907.1014887771105,6703.991306585719,3.3084056548308576,5044.330161295614,1664.979766551497,1135.1677946171503,3908.7185936066157,979.874947716499,208.40505328331307,4234.459924377122,539.020285460535,8.98907339871934,2716.871571301902,3.437117501259809,2860.7886212023836,2861.8353650156905,8630.167381000332,1274.6285969451533,1775.5883824829866,2158.5724061450474,1961.5427755380192,2429.644728085017,29.46158350829739,3229.4793835003015,7157.678888968162,5993.193400274244,4384.967810732971,2897.323119751324,2058.9285229792745,229.69313660794663,1824.4970773105076,5935.589977432085,0.0,1096.1341090706137,1495.2705392055282,536.7357681825788,1436.7829011088777,459.8451288385646,145.58677520465773,4010.6476731246466,33.55395461250366,898.0467056249148,622.0174853974216,14279.76111989049,1552.5003939925891,687.5902281246299,1185.7269512738308,11.142869029829352,944.6889498948042,14379.416115615708,2610.5097478812545,0.0,1323.2545424438324,4.992205889567311,381.533032212458,267.4725292257091,10993.392864247926,160818.66807703688,453.86393971991413,805.1618154002864,5022.988242135215,0.0016874936762416373,1437.2713670684377,3087.833784659954,51.269135683551276,3285.5357250428538,8.69666658693166,435.811852859106,20.20225367068032,525.3068982218923,3021.0513578985347,13.69813177730744,2619.6532247992623,90.48478634088582,3.5663324533721745,5639.70789479706,0.0,1.0911869996514225,0.00025896348405995815,11883.287818752193,178650.11429004197,12938.035941652117,12950.362247981406,0.39373455433722016,12938.609318234025,0.0,0.000510731644307412,0.0012485701173769238,0.0,0.0,0.0014563665286245068,35.61887920273032,81.53624262391129,0.0,0.0,252.92660737333958,0.32646616678407836,1220.005858795005,1.65406967133644,3.488845945857692,1.1304549555673444,0.0,0.0,4.114210636249272,14800.650463380798,1553.6670518404617,0.0,0.2980283831647505,0.0
Tractores y maquinaria agrícola,32961.22608041773,7485.424850155963,3764.570063807832,2483.043353008419,363.0572209945617,1331.0301983207203,931.2357851733619,5695.9555792555175,23.9470853386264,406.2015563152304,362.6405917727618,0.0,0.0,0.0,156.24002851378967,0.0,171.5805050609078,446.0090842833515,77.15831817074744,1338.3191578136036,368.9740267115894,111.21363811737947,891.3223584885599,587.2333408519949,82.92723404450958,987.5726074998453,0.0,805.1857414156498,643.5792408914908,84.7138123666075,1784.0019752790483,5.362315877550771,23.46158212976821,20.985414984096874,9.826857941323897,69.65219348526847,879.7409956881968,32.846735938812444,41.21392450546544,117.02033921337252,143.58563322791073,1239.214629268702,0.0,45.57971903061746,5.991717509897024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.0309710706292,0.0,0.0,0.0,100.97354343556654,115422.88001505732,10322.243790384862,225.251711017612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5336.652017999725,105.12124523560443,4274.490632708923,867.2575979266433,0.0,0.0,0.0,0.0,0.0,0.0,1350.6801926331739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.858649865515188,0.0,13637.068680143828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otra maquinaria de uso especial,2786.2535381454873,296.28821339668286,4246.945067169084,2560.613155720115,2409.2496926714225,32249.966614003748,762.4870316960912,10140.009243347587,275.9741720395294,445.58042039061553,5942.499947306007,20000.02724002487,5000.008494201374,14000.004372062564,2803.6584475761447,981.3921808055143,811.0265547121439,226.7479501189852,195.66078799680463,585.8272251063192,330.63134943187526,182.36798641843558,1087.1814924764858,232.4134720756989,393.1407642995016,445.7484016572264,89.98161224774444,788.6772437943549,291.0169996316205,1080.9362003979427,562.7263535464492,576.3871973512712,247.84201415103217,426.9329366579625,310.7866039361514,553.0285736592961,388.07642196977326,16.542941558591796,416.5767915780418,386.73224369629787,413.5417713738407,550.9686291100237,318.61302761227483,460.18913270787414,65.47854078764512,270.1976770399218,510.8038728632468,10.297883108553801,49.184298812890944,265.6077749856695,35.791303267065295,207.3981028668333,390.70314273688405,310.32141467164274,262.9851951553336,221.70620760494617,209.3131707192651,281.9235288507533,686.0614990588836,212.68522672939136,20.645195667733024,160.43862296139366,172.3789709914424,1114.1503078574467,111.60863812060057,202.8839299124187,11.186104422916193,1789.283387454061,36.20821218653563,54.628160595601386,29.03383932107078,995.4573593686924,1431.2783153681903,367.77301760025654,79615.94436495221,6145.541493685039,0.09394156936779738,11.165283442753534,17.489672714338244,30.16718892934762,245.49929000233092,6.226064833227382,90.92959127119309,100.38233448471657,1964.3744423664216,1063.9679842683072,241.8951246877589,235.28823536472225,629.2214275227836,35.87634841914279,137.88472160898908,0.0,52.49342837242762,0.013989086464185434,77.61008017181446,76040.05968297951,52.30972338257942,86.82784619174723,0.0,0.0,0.0,0.028018326167230108,0.031168446205768474,0.0,0.0,0.008837180681511713,0.0,0.0,0.0,0.0,1363.3113347479823,0.002917217280227998,25196.938633050802,28.281391687906048,59.644633864713306,7.141364865225294,0.0,0.0,21.36552831030964,18407.158540990655,218.78806583391622,0.12523234293782937,0.4576186837542655,0.0
Aparatos de uso doméstico,22.36253125559865,0.10702391453172264,3.2785115902396185,0.1203456761280858,2.7400508272287407,116.65526996163744,3.387010044566292,1433.4238726684405,0.03504087749109142,1.4193848006403484,21.630013554258568,0.001982731021490684,0.0009324398196580694,0.0009841920540071473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.065280956092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12429946108098995,0.0,0.0,0.0,4.695230010381568,0.0,0.0,0.0,5.955599841507354,3.2397014023037256,11.865962774343716,273.6408535792017,103918.68430263089,0.0,0.0,0.0,0.0,0.3321021396442061,0.0,0.0,3423.7228793868776,19.782311712006006,3567.8391323503774,1.7636685194645778,0.0,4.6823682921359255,0.24769883344843688,0.0,0.0,0.0009324398196580694,0.0,0.7226709844715237,224512.71628249274,3086.6028776905987,5262.77540081523,0.0,211.21345463999478,0.0,0.0,0.0009324398196580694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87024.73063938957,0.1616048585022155,85.06883729136307,26.702898480668647,53.700502867508334,0.07419094902629068,0.0,35.84304981073306,1183.5845080222525,0.0,0.0,0.0,0.0,0.0
Máquinas de oficina e informática,13149.741812693164,2918.333417330103,1902.9102314417041,3295.948343943065,1611.4035733775634,2983.5314578500024,3072.6919801999047,3009.067983507873,20.60849016845484,1176.290784160662,90.497317692433,3109.0620768983026,52.66330436994911,313.02349409032917,97.90480123210295,13.52958810085799,121.07743672830586,60.152071821604125,204.0056581008101,119.00115453238682,28.44743744418694,89.84107489648996,145.68329727202888,53.00570431254888,110.74019824677633,116.56662009920656,7.651177389588408,95.24079524640491,36.68148277004913,202.39088149439252,74.39900669650649,127.00142037676545,47.062528332723076,78.48298854893157,57.7739832915251,129.4974848337447,63.35480259603099,3.28086219398432,87.58845873459029,119.76611658421216,179.7601777152106,81.76752237396919,128.65130149265605,2.4402718201714677,0.0,72.47015095393088,0.0,2853.9467435215097,0.0,1.9819568089780994,6.3635582861619335,1.9191499766680316,9.447506364107708,5.558504229926803,4.302731929875764,0.12545168174776672,1.662162351471095,4.757120045829034,0.0,3.5660533860943504,4.233970115091787,0.0,2.139052578161242,5.80776580851876,0.0,4.3077538601689795,7.360314873782144,3.860319186160115,4.076262188768325,4.242951644269976,10.940275143765525,0.32845355629267814,1.6505732815636514,3.351076139311763,0.0,2.2287712943611377,10868.955640772645,0.0,0.0,1.1152548274236267,0.0,0.0,0.0,0.0,0.0,0.0,2.043442751425046,0.0,0.0,0.7000763979904647,12.307688817258084,0.0,67.54897470656736,97.80980884937851,193.78576560233827,0.0,4203.802799094379,7447.592243725829,635.3601089094086,1609.769429541754,11.810858264934675,783.9760626483628,0.0,56.12999656362822,900.4417064348603,2526.3303583641264,236.04844273327564,0.0,0.0,2134.896113698341,5302.261107740813,0.0,0.0,1939.0515748525472,0.0,930.813226277252,1377.424533437032,0.0,105.90621298096325,2586.720350686472,0.0,653.3679583816464,0.0,0.0
"Motores, generadores y transformadores eléctricos",681.610907820428,70.47900016601052,53.333715510243906,118.89388735964894,36.33867458863213,341.90488794681556,50.89012294158898,261.67732535678806,1.9354975767631624,28.443251155204404,35.557628797900314,0.008861334968910225,0.008866047046361134,0.00172851449439309,33.94568237874053,993.8976487722857,33.590407692547565,0.035550760616777956,0.010842489140102376,12.227922822195163,3.7980876100288685,21.506336138479444,22.981157562343256,6.860256292451716,14.48505184600673,9.480551896421568,0.7344120145154023,10.418891174764536,0.036933844953566476,19.97087801163987,11.91776526885055,35.538751356538086,6.531210172914747,9.537815665944162,7.02319471389263,11.812748546052836,7.272193475707033,0.35874022515607795,7.992769528709952,19.399148632171205,28.498118423031208,9.676342505268874,16.15043194383475,10.648788456439773,1.223092067468542,7.473592681520122,32.70582516787423,4.125512901359886,0.0,4.7253633779495905,11.473923418731088,5.101360619146683,0.06020126878048619,0.5069409444624944,0.0507628253306963,3.304814820052195,3.247789889862033,3.787005599760428,43.929881292606055,4.784047731625873,75.73260611784772,31.399392925873872,0.21114454002594565,15.003687477152491,44.712381332750184,9.95707882881477,4.4813499654474676,600.5286411834329,14.505645960056642,572.7978432760146,10279.294619812405,34840.383109794115,28556.26191712556,4677.845498129794,13394.781166141413,19477.14439466059,4.114150054346239,10791.462145565942,2893.4882705845534,202.22100046467474,3263.729581327769,10300.26260384644,3355.009340318194,9961.059172147952,2496.1325371005396,564.4603383446422,5.334217504875173,1369.0144586694869,133.1585664074969,1.1888474843102346,280.1967043447158,0.0,35487.79904809999,0.00010200383401354646,4.433211737816862,36621.31095877723,324.45273735825265,538.1760484930558,5.094791894383904,249.1434213557596,0.0,0.00022612111804809368,0.009446295095740758,0.0,0.0,0.01772725183919593,0.0,226.27360593585237,0.0,0.0,17.934833436875113,0.008196472846246408,554.6228849425686,109.75532244561765,232.2669785536255,0.9960939758092517,0.0,0.0,0.21688373312806355,0.0,6.682272904471594,0.0,498.1709578932738,0.0
Aparatos de control y distribución de energía eléctrica,88.25747314199397,11.01909420257726,3.4802192059066304,6.547394778685776,4.581982658680277,70.8622422741438,29.815838187592433,7.013320847218566,0.15616384854219614,9.2783872493392,399.822825804275,1.5033884897306202,0.004404083498961961,0.0016219409432072411,41.29518067354152,75.290110952885,5.247783021333327,1.7560076456740878,0.5466448208362872,3.4074096133019376,2.9782204031361856,23.23876787490137,3.2735297077231498,7.231070952179932,10.220510487055073,6.17180759936284,0.2947250549573407,14.76333128024503,0.0,6.964731386382776,4.911130109023624,24.498650887713854,4.169756866488498,6.793878680146427,3.4415697753573085,19.91914606704457,19.01830943692747,1.1270052407518607,0.1285751655385938,3.5068327993433526,10.291670720943376,9.783844043196419,7.0554782234193505,4.878347894694491,0.0,11.408132702015847,23.143207651867026,0.26703683732505756,4.880181678565978,5.690769675274884,2.2380349563230966,3.140228596563401,9.952933986426064,7.147672495230621,2.9856979765727902,0.2697225148196573,5.705444095418511,0.7981895156720978,49.55551934614732,0.06559546010381047,9.225587810202452,8.116370605232461,2.103161992101359,17.267704759922534,34.15783725488369,2.4898336256082616,2.8731475360079863,58.4644978719308,2.1334299086457147,7.06171454628342,642.214950192234,2223.7465599638367,2125.2962135288312,299.60084130026513,836.908567349791,3983.393088907443,0.0,5498.147519868903,9011.786286480467,791.7832020155831,449.8468892977122,643.6759354232796,431.75366597871914,623.8182352011758,947.21392658529,226.87321735247386,4.998714954540919,1.2884651072148472,31.982556172890327,1.8824515953410481,29.532256547201964,0.0,16725.73935732829,20.498905567197625,57.80478000410797,163775.79454433764,765.2271299807514,3255.4476068650397,2.482629180600332,47.00085223888982,0.0,0.000545133893520974,0.00040055912511419254,0.00012523550785521309,0.0,0.001393079890348605,0.0,18067.418755240848,0.0,0.0,337.0566926053086,0.0,2801.135059518412,13.434521170059442,28.037347627003708,2.6936042863760536,113.53942685624887,0.19366171967691262,0.4085835642429752,0.0,239.78619329593334,0.0,130.21712774029027,0.0
Hilos y cables aislados,195.67936226135078,19.828045360171203,13.32597569248346,33.113824771234604,10.123213828895999,84.08339226488985,38.981875069064046,93.20955416313039,0.5342990161738097,9.010855462615071,13.750377513294636,0.003596136135108324,0.0035994867812892202,0.0007015911725254494,1919.329338771074,0.0,245.81306504067527,81.7051887431049,0.0,156.94778863138632,138.45499331195794,1084.9989974717748,152.42567645211014,344.79922411451713,475.1156918735023,286.7216004739572,14.761812063256675,686.3662638999273,0.0,328.9963498130636,238.20274848930518,1136.0679590473846,193.95652934664986,318.3607971060937,159.30670322121927,946.6742932403929,878.9251566050366,56.44799883298807,0.0,163.0293768156489,737.3860799405492,490.93609123854617,526.1357285741196,262.59666154083146,0.0,549.62814912977,1099.0224483694356,26.22856875057326,315.6026520165005,267.60846609105346,102.58019584393259,451.7283998904737,469.56939490197067,350.635015313342,138.71450074183898,11.40227973295554,267.39809094912533,0.0,2715.2849664994965,16.920621445694536,348.1847003514338,376.51851189921194,97.69972945792226,802.9941410399375,2902.575656418242,10240.67210443843,255.1348886610619,2041.828997128619,409.24492101188855,610.6218116472239,2098.6929112812168,278.0658165336361,2868.702607243465,622.1144691302344,124.57494087874046,5214.940850766362,0.0,12568.869167787996,2998.772450119582,18421.36081543913,3270.6962744731804,1721.848421749751,1464.0599353837886,224.94559454211844,1952.9777759716435,11419.456583579506,438.24711586456624,1278.0289945170068,685.3149308738093,92.01660999535042,831.2244289188961,100.66634429317749,29129.932958467674,4.032082043820919e-05,0.00017706345936604242,232007.50312254988,22.280934088889,36.98380609255115,2.0686684116153606,101.16117329317547,0.0,8.965937800186384e-05,0.003833215313879661,0.0,0.0,0.007197523486184522,0.0,57126.6369662336,0.0,0.0,8.599191467552007,0.00331603829489074,715.0200822151528,225.42821804987258,473.1340398556994,82.37048018894923,0.0,0.0,0.0,0.0,34.3617666500722,0.0,24.474322011846603,0.0
Acumuladores y pilas,19099.870083182333,1733.4907664307714,1252.2945973633362,3008.8661904198084,849.8845313082471,6894.424660520634,566.9091526791477,5977.405925926212,62.49781605920513,734.2385883436659,42.45596132620117,8.804836443358175,1.01835071224655,5.417554004087092,10.079597822386322,30.97550271327095,6.440095839820309,7.144292851747553,2.11549840945811,16.021735544283427,5.664948556144204,2.788133026524317,5.212028100704996,8.09583821596028,3.8272932142310534,14.10343977199594,1.4188860800057463,15.395981543700795,7.206231820464113,5.6067740731715965,14.7505964925725,7.050169287992944,7.823816079058477,11.904609850543546,8.636494715034186,15.090837392124135,11.025173196872931,0.5454856549831208,10.526863094124838,3.7365522775837303,12.813953892845593,17.809241974368938,13.192279458763553,13.924862934367784,1.8061197337553778,9.967800563232062,8.920280361939461,0.0,3.7699732184709553,7.628021617168187,0.28805689743657503,21.268051241519487,12.683440692285792,10.245528129918096,10.210639933048814,6.482752389340341,7.163314762133781,7.081189776124899,25.095557895436663,7.499959630583183,9.48924256587943,0.6049922943018577,6.673737106844869,4.0114148129896305,65.78335777740327,483.70927736944424,6.973007076883375,521.579620351661,15.83423224166106,15.151933443067762,421.98619179904426,1761.410331825005,1093.6452011765277,1196.817140494546,1240.5926065220774,2878.4365426732825,210.40965063264142,5455.893074227273,377.74620138602967,710.5471976442266,53198.71917337968,407.91171400141315,2596.8049999400864,867.3497950013506,4560.057238565598,20701.390241231813,18.639314614341213,60.64579678881967,3021.1198254082715,1.6924248242459763,18.00328302665878,4.776879621408432,88.30406755949244,1.8962578387282316,7.416749791544831,50881.60881311814,4403.123421194483,7307.947765423316,96.57865077328958,4152.330232528987,0.22871744192246862,15.186429164970999,0.15724271599553108,1.086958199072166,17.4370667293096,49.21675269246188,4.57108152351837,10834.821088680548,0.0,41.34229426365951,298.6627828116863,0.1352895805179747,5638.681175489229,390.9530998191558,751.5863392656724,37.3779216026711,26.6738461051806,0.0,3.504247082615465,50.091877178332496,67.81120335854426,12.652480008063382,19.167189336314745,0.0
Lámparas eléctricas y equipos de iluminación,153.43473012563308,239.90156919755225,21.480203938705383,36.938374814717214,17.839792932354314,1273.7876983905812,463.98986274705453,24.786390445902196,0.26461282992504953,12.636952438793532,639.6644681567388,384.32431186086734,1.1258542763086066,0.4146309095320945,760.5400987733482,127.02277161604184,86.925850251952,31.88664530256053,139.74358326892425,70.01657776349792,54.68498026457255,402.97873735684874,58.87219735377694,88.71341368721808,187.80483750286757,114.34834112441983,0.0,270.91931092247046,0.0,101.28334424217663,39.706791610429576,464.4016273843112,76.01233175823243,111.88980751318597,66.70952201948135,260.353353078239,375.8509326807218,0.0,32.868790971568075,64.39304265145425,162.03533569782647,181.64002564707428,10.996557788052865,99.487857210123,0.0,201.28332420632756,461.83975776491616,68.26495576326003,0.0,88.92836682280506,48.56708431579086,60.412607958046515,147.70978964984923,37.60811607089801,55.27203191739618,10.755173335517636,93.75345513182828,204.04814752852366,616.665393769399,16.768739575830526,92.4992448435242,153.13751683807942,38.99785155865595,315.8745662674093,721.8579866994817,73.13340379583953,147.08331839344012,188.7201636136723,137.43244089500658,60.59370968622221,0.0,0.8084570595661046,149.84114607481848,148.7022730330496,0.8360264723213967,1.9162849796793393,0.0,3.2857742467875117,0.0,0.0,41.70504086017026,1612.0577463930067,0.0,1.4950734961762404,34.78323002359736,84.74592630212176,46.90808908725796,329.3815730728479,3.836285981867307,42.54658146519424,67.22233720357008,0.0,7466.879901097141,0.006321952773300837,0.05618290849209139,84598.5757246486,26265.40802248907,63313.686978034086,634.656150394563,12015.237789150759,0.0,0.13935733174132767,0.1023984227434701,0.032015045150189506,0.0,0.35612516251296633,0.0,288.443817936108,0.0,0.0,27921.287848599983,0.0,3115.526211971931,904.007535419507,1830.4447954042691,357.61334565704686,0.0,49.5074344768716,104.44978010539283,0.0,35297.35325023816,0.0,994.8605890333179,0.0
"Tubos y transmisores de radio, TV y telefonía",16.640679216436624,3.398889489545819,3.552071105420065,4.3345167295096765,1.8981200701475003,169.03681779819712,30.573069574869578,2.8052206070051375,0.023344883420185196,23.882981530681224,35.567751374036646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12268.025651650554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.39632102722267,0.0,0.0,0.0,453.7555187395169,2661.7379624771374,0.0,0.0,12256.607134450125,898.8914119695563,10432.246561391408,7777.768056075229,1116.4008284934205,0.0,0.0,78677.45358416822,1728.2085417377705,7164.438287293235,0.0,0.0,0.0,4974.0300357867245,0.0,0.0,0.0,0.0,0.0,0.0,55031.96885088892,1265.1720969377295,2097.945844970736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57701.151416173336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38519.739992717994,10712.398314865595,798.986060667575,0.0
Receptores de radio y TV,12.423084582006833,2.7563624540686,1.6543119612613202,3.0739542545944705,1.5213156760299378,25.028064403609093,2.8776060490086124,2.112106897701491,0.019449473125220555,5.427493330753908,6.684598944071161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12458.519941065519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.05595648075442,0.0,194.55187847454417,0.0,7309.16469260072,0.0,0.0,0.0,3.967718687168533,0.0,0.0,0.0,7427.823949232341,311.9086275171047,67886.90428381131,18.511480416529178,0.0,0.0,0.0,0.0,4539.445367967643,0.0,0.0,0.0,912.2890268205481,3592.4828449555534,6894.668361385165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.66531518670485,0.0,0.0,0.0,0.0,73.91075583964655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.2924744231617,83.0158716420872,13422.864537176214,0.0
"Instrumentos médicos, ópticos y de precisión y relojes",58.975607642002856,15.271759362921516,10.571083333938844,16.532114695489682,8.185151850514922,33.49266665306901,17.056661516299457,40.334378996742814,0.11310016122947412,17.315008475240916,35.498014590571195,0.2305244835098384,0.012560422523087726,0.05580566699350266,12.246885735249776,2.3643394065271433,11.848766425476141,0.08445833821985005,0.16328202847903167,4.365719641559913,1.3459350894246747,7.815780269335847,8.068870755836558,2.431881656425467,5.188690470600672,3.4363743602653445,0.258658553773563,3.736623971442581,0.015434565787398002,7.183025825474849,4.186198558423618,12.639510489044945,2.3097536385260775,3.38527235757164,2.495720194561965,4.32977128089329,2.6471848049596858,0.12758763935701548,2.8556711847682443,6.843135452424774,10.08621408150815,3.4297681797387813,5.691366937268034,3.7657020579184683,45.4087011849937,84.4735828152627,222.3177069308004,1.4634320968228898,0.0572183105335192,1.691840799185067,4.076224073877149,1.828052452569242,981.3561671974384,214.94339317022568,0.07659222092217456,1.1564851753228687,1.161784611805747,1.4177657442373857,15.741803167840525,1.6906036640104123,0.06087149425184795,11.080690763689216,0.09283342524876678,113.16885435303104,16.020581112511817,3.535147179914968,1.638176511427395,4079.3142136924466,5.1438535025575876,1.9102976012230168,0.0957928094854516,507.7108259257858,2869.3676677277285,1425.3462404667102,1642.2643719939665,5155.839154175003,0.0023195538908493134,0.03659652320254379,0.028144450120818898,0.8329417144516506,288.98046281813384,0.02502258478142239,1.2213540652193735,37.316790095860505,30064.481186222034,149.5704383843329,1800.086012379551,30.24002032209509,4067.619321422801,925.388657539991,7.083599544154063,207.7318339560572,1.9132179060841412,0.01787974989443502,628.3815789702055,23233.787928056823,18995.481047749923,31536.671177023716,0.3208229794748201,3.4079069376736055,0.10296912268362066,0.20589935899288678,0.0026048517981208047,0.01032975885294125,0.16632013718032207,0.7826166910946049,0.06584514452482863,0.49886485435999023,1.0318096288735208,0.39026877634453594,705.4850232989849,0.0015048970878843518,9815.361313839006,1614.9991272891118,3360.9327736749383,15918.239265943992,82155.10941515262,1447.7284462413909,6961.631292840365,0.3970712494904739,16177.885703924325,0.28777215026258574,11250.726330623622,0.0
Vehículos automotores,15401.21984863655,2099.870947067078,1898.3879226088263,2601.8433391400986,772.8694675597817,10886.219497649281,1869.2939555918342,3315.6074959478574,249.5914928884206,638.0622477904919,70.43597744006397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.33707632325904,0.0,0.0,0.0,194.8051508858647,1153.7681271102658,352.9039356639577,148.5395685344264,386.6006480603072,1016.5643528571107,304.9144803978845,9.082551485884943,326.8378388071718,0.0,0.0,0.0,0.0,221.5956830386342,130.0760124514336,388.29289629892145,1180.5831669990448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.1519987640426,482.5122069589311,0.0,440.5005085482093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390221.8322987965,747.1270038623027,38001.52612177718,47.76626743136643,441.0014788283296,0.0,0.0,0.0,0.0,0.0,0.0,15602.80725900462,37080.621071858615,0.0,0.0,109457.09629385198,174371.35754421735,0.0,0.0,0.0,30000.0,6973.470895670923,0.0,0.0,0.0,1238.0920743774655,0.0,55795.26280382611,478.8754215148012,1010.9350080547704,1095.5431598039395,0.0,0.0,0.0,8827.092054169656,26825.78884829694,0.0,440193.43631885893,0.0
